	car_ID	symboling	CarName	fueltype	aspiration	doornumber	carbody	drivewheel	enginelocation	wheelbase	carlength	carwidth	carheight	curbweight	enginetype	cylindernumber	enginesize	fuelsystem	boreratio	stroke	compressionratio	horsepower	peakrpm	citympg	highwaympg	price	Phase	Price Predictions
18	19	2	chevrolet impala - 19	gas	std	two	hatchback	fwd	front	88.4	141.1	60.3	53.2	1488	l	three	61	2bbl	2.91	3.03	9.5	48	5100	47	53	5151.0	Existing data	5143.255
19	20	1	chevrolet monte carlo - 20	gas	std	two	hatchback	fwd	front	94.5	155.9	63.6	52.0	1874	ohc	four	90	2bbl	3.03	3.11	9.6	70	5400	38	43	6295.0	Existing data	6511.834
20	21	0	chevrolet vega 2300 - 21	gas	std	four	sedan	fwd	front	94.5	158.8	63.6	52.0	1909	ohc	four	90	2bbl	3.03	3.11	9.6	70	5400	38	43	6575.0	New unseen data	7740.299
21	22	1	dodge rampage - 22	gas	std	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	1876	ohc	four	90	2bbl	2.97	3.23	9.41	68	5500	37	41	5572.0	New unseen data	5795.57
22	23	1	dodge challenger se - 23	gas	std	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	1876	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	6377.0	Existing data	6262.0205
23	24	1	dodge d200 - 24	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	mpfi	3.03	3.39	7.6	102	5500	24	30	7957.0	Existing data	7996.5938
24	25	1	dodge monaco (sw) - 25	gas	std	four	hatchback	fwd	front	93.7	157.3	63.8	50.6	1967	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	6229.0	Existing data	6325.214
25	26	1	dodge colt hardtop - 26	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	6692.0	Existing data	6792.315
26	27	1	dodge colt (sw) - 27	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	7609.0	New unseen data	6793.615
27	28	1	dodge coronet custom - 28	gas	turbo	two	sedan	fwd	front	93.7	157.3	63.8	50.6	2191	ohc	four	98	mpfi	3.03	3.39	7.6	102	5500	24	30	8558.0	Existing data	8471.317
28	29	-1	dodge dart custom - 29	gas	std	four	wagon	fwd	front	103.3	174.6	64.6	59.8	2535	ohc	four	122	2bbl	3.34	3.46	8.5	88	5000	24	30	8921.0	Existing data	8908.607
29	30	3	dodge coronet custom (sw) - 30	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2811	ohc	four	156	mfi	3.6	3.9	7.0	145	5000	19	24	12964.0	Existing data	12953.843
30	31	2	honda civic - 31	gas	std	two	hatchback	fwd	front	86.6	144.6	63.9	50.8	1713	ohc	four	92	1bbl	2.91	3.41	9.6	58	4800	49	54	6479.0	New unseen data	5681.2656
31	32	2	honda civic cvcc - 32	gas	std	two	hatchback	fwd	front	86.6	144.6	63.9	50.8	1819	ohc	four	92	1bbl	2.91	3.41	9.2	76	6000	31	38	6855.0	Existing data	6757.126
32	33	1	honda civic - 33	gas	std	two	hatchback	fwd	front	93.7	150.0	64.0	52.6	1837	ohc	four	79	1bbl	2.91	3.07	10.1	60	5500	38	42	5399.0	Existing data	5473.094
33	34	1	honda accord cvcc - 34	gas	std	two	hatchback	fwd	front	93.7	150.0	64.0	52.6	1940	ohc	four	92	1bbl	2.91	3.41	9.2	76	6000	30	34	6529.0	Existing data	6690.993
34	35	1	honda civic cvcc - 35	gas	std	two	hatchback	fwd	front	93.7	150.0	64.0	52.6	1956	ohc	four	92	1bbl	2.91	3.41	9.2	76	6000	30	34	7129.0	Existing data	6909.455
35	36	0	honda accord lx - 36	gas	std	four	sedan	fwd	front	96.5	163.4	64.0	54.5	2010	ohc	four	92	1bbl	2.91	3.41	9.2	76	6000	30	34	7295.0	Existing data	7347.768
36	37	0	honda civic 1500 gl - 37	gas	std	four	wagon	fwd	front	96.5	157.1	63.9	58.3	2024	ohc	four	92	1bbl	2.92	3.41	9.2	76	6000	30	34	7295.0	New unseen data	7349.08
37	38	0	honda accord - 38	gas	std	two	hatchback	fwd	front	96.5	167.5	65.2	53.3	2236	ohc	four	110	1bbl	3.15	3.58	9.0	86	5800	27	33	7895.0	Existing data	8200.097
38	39	0	honda civic 1300 - 39	gas	std	two	hatchback	fwd	front	96.5	167.5	65.2	53.3	2289	ohc	four	110	1bbl	3.15	3.58	9.0	86	5800	27	33	9095.0	Existing data	8723.306
39	40	0	honda prelude - 40	gas	std	four	sedan	fwd	front	96.5	175.4	65.2	54.1	2304	ohc	four	110	1bbl	3.15	3.58	9.0	86	5800	27	33	8845.0	Existing data	9088.307
40	41	0	honda accord - 41	gas	std	four	sedan	fwd	front	96.5	175.4	62.5	54.1	2372	ohc	four	110	1bbl	3.15	3.58	9.0	86	5800	27	33	10295.0	New unseen data	8739.356
41	42	0	honda civic - 42	gas	std	four	sedan	fwd	front	96.5	175.4	65.2	54.1	2465	ohc	four	110	mpfi	3.15	3.58	9.0	101	5800	24	28	12945.0	Existing data	12779.8
42	43	1	honda civic (auto) - 43	gas	std	two	sedan	fwd	front	96.5	169.1	66.0	51.0	2293	ohc	four	110	2bbl	3.15	3.58	9.1	100	5500	25	31	10345.0	Existing data	10192.849
43	44	0	isuzu MU-X - 44	gas	std	four	sedan	rwd	front	94.3	170.7	61.8	53.5	2337	ohc	four	111	2bbl	3.31	3.23	8.5	78	4800	24	29	6785.0	Existing data	6901.7837
44	45	1	isuzu D-Max  - 45	gas	std	two	sedan	fwd	front	94.5	155.9	63.6	52.0	1874	ohc	four	90	2bbl	3.03	3.11	9.6	70	5400	38	43	8916.5	Existing data	8666.838
45	46	0	isuzu D-Max V-Cross - 46	gas	std	four	sedan	fwd	front	94.5	155.9	63.6	52.0	1909	ohc	four	90	2bbl	3.03	3.11	9.6	70	5400	38	43	8916.5	Existing data	8712.883
46	47	2	isuzu D-Max  - 47	gas	std	two	hatchback	rwd	front	96.0	172.6	65.2	51.4	2734	ohc	four	119	spfi	3.43	3.23	9.2	90	5000	24	29	11048.0	Existing data	11054.979
47	48	0	jaguar xj - 48	gas	std	four	sedan	rwd	front	113.0	199.6	69.6	52.8	4066	dohc	six	258	mpfi	3.63	4.17	8.1	176	4750	15	19	32250.0	New unseen data	35527.96
48	49	0	jaguar xf - 49	gas	std	four	sedan	rwd	front	113.0	199.6	69.6	52.8	4066	dohc	six	258	mpfi	3.63	4.17	8.1	176	4750	15	19	35550.0	Existing data	35527.96
49	50	0	jaguar xk - 50	gas	std	two	sedan	rwd	front	102.0	191.7	70.6	47.8	3950	ohcv	twelve	326	mpfi	3.54	2.76	11.5	262	5000	13	17	36000.0	Existing data	35992.508
50	51	1	maxda rx3 - 51	gas	std	two	hatchback	fwd	front	93.1	159.1	64.2	54.1	1890	ohc	four	91	2bbl	3.03	3.15	9.0	68	5000	30	31	5195.0	Existing data	5540.539
51	52	1	maxda glc deluxe - 52	gas	std	two	hatchback	fwd	front	93.1	159.1	64.2	54.1	1900	ohc	four	91	2bbl	3.03	3.15	9.0	68	5000	31	38	6095.0	Existing data	6228.9795
52	53	1	mazda rx2 coupe - 53	gas	std	two	hatchback	fwd	front	93.1	159.1	64.2	54.1	1905	ohc	four	91	2bbl	3.03	3.15	9.0	68	5000	31	38	6795.0	Existing data	6405.821
53	54	1	mazda rx-4 - 54	gas	std	four	sedan	fwd	front	93.1	166.8	64.2	54.1	1945	ohc	four	91	2bbl	3.03	3.15	9.0	68	5000	31	38	6695.0	Existing data	6920.4614
54	55	1	mazda glc deluxe - 55	gas	std	four	sedan	fwd	front	93.1	166.8	64.2	54.1	1950	ohc	four	91	2bbl	3.08	3.15	9.0	68	5000	31	38	7395.0	Existing data	7061.0645
55	56	3	mazda 626 - 56	gas	std	two	hatchback	rwd	front	95.3	169.0	65.7	49.6	2380	rotor	two	70	4bbl	3.33	3.255	9.4	101	6000	17	23	10945.0	Existing data	11348.482
56	57	3	mazda glc - 57	gas	std	two	hatchback	rwd	front	95.3	169.0	65.7	49.6	2380	rotor	two	70	4bbl	3.33	3.255	9.4	101	6000	17	23	11845.0	Existing data	11786.887
57	58	3	mazda rx-7 gs - 58	gas	std	two	hatchback	rwd	front	95.3	169.0	65.7	49.6	2385	rotor	two	70	4bbl	3.33	3.255	9.4	101	6000	17	23	13645.0	Existing data	13291.025
58	59	3	mazda glc 4 - 59	gas	std	two	hatchback	rwd	front	95.3	169.0	65.7	49.6	2500	rotor	two	80	mpfi	3.33	3.255	9.4	135	6000	16	23	15645.0	Existing data	15650.06
59	60	1	mazda 626 - 60	gas	std	two	hatchback	fwd	front	98.8	177.8	66.5	53.7	2385	ohc	four	122	2bbl	3.39	3.39	8.6	84	4800	26	32	8845.0	Existing data	9107.745
60	61	0	mazda glc custom l - 61	gas	std	four	sedan	fwd	front	98.8	177.8	66.5	55.5	2410	ohc	four	122	2bbl	3.39	3.39	8.6	84	4800	26	32	8495.0	Existing data	8969.708
61	62	1	mazda glc custom - 62	gas	std	two	hatchback	fwd	front	98.8	177.8	66.5	53.7	2385	ohc	four	122	2bbl	3.39	3.39	8.6	84	4800	26	32	10595.0	Existing data	10311.466
62	63	0	mazda rx-4 - 63	gas	std	four	sedan	fwd	front	98.8	177.8	66.5	55.5	2410	ohc	four	122	2bbl	3.39	3.39	8.6	84	4800	26	32	10245.0	Existing data	10157.307
63	64	0	mazda glc deluxe - 64	diesel	std	four	sedan	fwd	front	98.8	177.8	66.5	55.5	2443	ohc	four	122	idi	3.39	3.39	22.7	64	4650	36	42	10795.0	Existing data	10880.877
64	65	0	mazda 626 - 65	gas	std	four	hatchback	fwd	front	98.8	177.8	66.5	55.5	2425	ohc	four	122	2bbl	3.39	3.39	8.6	84	4800	26	32	11245.0	Existing data	10831.422
65	66	0	mazda glc - 66	gas	std	four	sedan	rwd	front	104.9	175.0	66.1	54.4	2670	ohc	four	140	mpfi	3.76	3.16	8.0	120	5000	19	27	18280.0	Existing data	18243.799
66	67	0	mazda rx-7 gs - 67	diesel	std	four	sedan	rwd	front	104.9	175.0	66.1	54.4	2700	ohc	four	134	idi	3.43	3.64	22.0	72	4200	31	39	18344.0	Existing data	18184.922
67	68	-1	buick electra 225 custom - 68	diesel	turbo	four	sedan	rwd	front	110.0	190.9	70.3	56.5	3515	ohc	five	183	idi	3.58	3.64	21.5	123	4350	22	25	25552.0	Existing data	25737.363
68	69	-1	buick century luxus (sw) - 69	diesel	turbo	four	wagon	rwd	front	110.0	190.9	70.3	58.7	3750	ohc	five	183	idi	3.58	3.64	21.5	123	4350	22	25	28248.0	Existing data	28184.04
69	70	0	buick century - 70	diesel	turbo	two	hardtop	rwd	front	106.7	187.5	70.3	54.9	3495	ohc	five	183	idi	3.58	3.64	21.5	123	4350	22	25	28176.0	Existing data	28161.57
70	71	-1	buick skyhawk - 71	diesel	turbo	four	sedan	rwd	front	115.6	202.6	71.7	56.3	3770	ohc	five	183	idi	3.58	3.64	21.5	123	4350	22	25	31600.0	Existing data	31552.846
71	72	-1	buick opel isuzu deluxe - 72	gas	std	four	sedan	rwd	front	115.6	202.6	71.7	56.5	3740	ohcv	eight	234	mpfi	3.46	3.1	8.3	155	4750	16	18	34184.0	New unseen data	36597.89
72	73	3	buick skylark - 73	gas	std	two	convertible	rwd	front	96.6	180.3	70.5	50.8	3685	ohcv	eight	234	mpfi	3.46	3.1	8.3	155	4750	16	18	35056.0	Existing data	35045.99
73	74	0	buick century special - 74	gas	std	four	sedan	rwd	front	120.9	208.1	71.7	56.7	3900	ohcv	eight	308	mpfi	3.8	3.35	8.0	184	4500	14	16	40960.0	Existing data	40763.98
74	75	1	buick regal sport coupe (turbo) - 75	gas	std	two	hardtop	rwd	front	112.0	199.2	72.0	55.4	3715	ohcv	eight	304	mpfi	3.8	3.35	8.0	184	4500	14	16	45400.0	New unseen data	38414.184
75	76	1	mercury cougar - 76	gas	turbo	two	hatchback	rwd	front	102.7	178.4	68.0	54.8	2910	ohc	four	140	mpfi	3.78	3.12	8.0	175	5000	19	24	16503.0	Existing data	16518.232
76	77	2	mitsubishi mirage - 77	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1918	ohc	four	92	2bbl	2.97	3.23	9.4	68	5500	37	41	5389.0	Existing data	5513.0444
77	78	2	mitsubishi lancer - 78	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1944	ohc	four	92	2bbl	2.97	3.23	9.4	68	5500	31	38	6189.0	Existing data	6118.6733
78	79	2	mitsubishi outlander - 79	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	2004	ohc	four	92	2bbl	2.97	3.23	9.4	68	5500	31	38	6669.0	New unseen data	6150.7646
79	80	1	mitsubishi g4 - 80	gas	turbo	two	hatchback	fwd	front	93.0	157.3	63.8	50.8	2145	ohc	four	98	spdi	3.03	3.39	7.6	102	5500	24	30	7689.0	Existing data	7823.1094
80	81	3	mitsubishi mirage g4 - 81	gas	turbo	two	hatchback	fwd	front	96.3	173.0	65.4	49.4	2370	ohc	four	110	spdi	3.17	3.46	7.5	116	5500	23	30	9959.0	Existing data	9813.653
81	82	3	mitsubishi g4 - 82	gas	std	two	hatchback	fwd	front	96.3	173.0	65.4	49.4	2328	ohc	four	122	2bbl	3.35	3.46	8.5	88	5000	25	32	8499.0	Existing data	8484.468
82	83	3	mitsubishi outlander - 83	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2833	ohc	four	156	spdi	3.58	3.86	7.0	145	5000	19	24	12629.0	Existing data	12914.381
83	84	3	mitsubishi g4 - 84	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2921	ohc	four	156	spdi	3.59	3.86	7.0	145	5000	19	24	14869.0	Existing data	14528.757
84	85	3	mitsubishi mirage g4 - 85	gas	turbo	two	hatchback	fwd	front	95.9	173.2	66.3	50.2	2926	ohc	four	156	spdi	3.59	3.86	7.0	145	5000	19	24	14489.0	Existing data	14421.231
85	86	1	mitsubishi montero - 86	gas	std	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2365	ohc	four	122	2bbl	3.35	3.46	8.5	88	5000	25	32	6989.0	Existing data	7355.814
86	87	1	mitsubishi pajero - 87	gas	std	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2405	ohc	four	122	2bbl	3.35	3.46	8.5	88	5000	25	32	8189.0	New unseen data	8172.4624
87	88	1	mitsubishi outlander - 88	gas	turbo	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2403	ohc	four	110	spdi	3.17	3.46	7.5	116	5500	23	30	9279.0	Existing data	9295.672
88	89	-1	mitsubishi mirage g4 - 89	gas	std	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2403	ohc	four	110	spdi	3.17	3.46	7.5	116	5500	23	30	9279.0	Existing data	9288.434
89	90	1	Nissan versa - 90	gas	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	1889	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	5499.0	New unseen data	6826.2964
90	91	1	nissan gt-r - 91	diesel	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	2017	ohc	four	103	idi	2.99	3.47	21.9	55	4800	45	50	7099.0	Existing data	7105.6533
91	92	1	nissan rogue - 92	gas	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	1918	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	6649.0	Existing data	6810.511
92	93	1	nissan latio - 93	gas	std	four	sedan	fwd	front	94.5	165.3	63.8	54.5	1938	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	6849.0	Existing data	6923.6343
93	94	1	nissan titan - 94	gas	std	four	wagon	fwd	front	94.5	170.2	63.8	53.5	2024	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	7349.0	New unseen data	7434.1753
94	95	1	nissan leaf - 95	gas	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	1951	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	7299.0	New unseen data	7295.2256
95	96	1	nissan juke - 96	gas	std	two	hatchback	fwd	front	94.5	165.6	63.8	53.3	2028	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	7799.0	New unseen data	7047.1055
96	97	1	nissan latio - 97	gas	std	four	sedan	fwd	front	94.5	165.3	63.8	54.5	1971	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	7499.0	Existing data	7352.7334
97	98	1	nissan note - 98	gas	std	four	wagon	fwd	front	94.5	170.2	63.8	53.5	2037	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	7999.0	Existing data	7668.2275
98	99	2	nissan clipper - 99	gas	std	two	hardtop	fwd	front	95.1	162.4	63.8	53.3	2008	ohc	four	97	2bbl	3.15	3.29	9.4	69	5200	31	37	8249.0	New unseen data	7230.169
99	100	0	nissan rogue - 100	gas	std	four	hatchback	fwd	front	97.2	173.4	65.2	54.7	2324	ohc	four	120	2bbl	3.33	3.47	8.5	97	5200	27	34	8949.0	Existing data	9084.296
100	101	0	nissan nv200 - 101	gas	std	four	sedan	fwd	front	97.2	173.4	65.2	54.7	2302	ohc	four	120	2bbl	3.33	3.47	8.5	97	5200	27	34	9549.0	Existing data	9272.908
101	102	0	nissan dayz - 102	gas	std	four	sedan	fwd	front	100.4	181.7	66.5	55.1	3095	ohcv	six	181	mpfi	3.43	3.27	9.0	152	5200	17	22	13499.0	Existing data	13611.294
102	103	0	nissan fuga - 103	gas	std	four	wagon	fwd	front	100.4	184.6	66.5	56.1	3296	ohcv	six	181	mpfi	3.43	3.27	9.0	152	5200	17	22	14399.0	Existing data	14315.386
103	104	0	nissan otti - 104	gas	std	four	sedan	fwd	front	100.4	184.6	66.5	55.1	3060	ohcv	six	181	mpfi	3.43	3.27	9.0	152	5200	19	25	13499.0	Existing data	13545.217
104	105	3	nissan teana - 105	gas	std	two	hatchback	rwd	front	91.3	170.7	67.9	49.7	3071	ohcv	six	181	mpfi	3.43	3.27	9.0	160	5200	19	25	17199.0	Existing data	17236.719
105	106	3	nissan kicks - 106	gas	turbo	two	hatchback	rwd	front	91.3	170.7	67.9	49.7	3139	ohcv	six	181	mpfi	3.43	3.27	7.8	200	5200	17	23	19699.0	Existing data	19631.742
106	107	1	nissan clipper - 107	gas	std	two	hatchback	rwd	front	99.2	178.5	67.9	49.7	3139	ohcv	six	181	mpfi	3.43	3.27	9.0	160	5200	19	25	18399.0	New unseen data	16429.654
107	108	0	peugeot 504 - 108	gas	std	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3020	l	four	120	mpfi	3.46	3.19	8.4	97	5000	19	24	11900.0	Existing data	12087.854
108	109	0	peugeot 304 - 109	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3197	l	four	152	idi	3.7	3.52	21.0	95	4150	28	33	13200.0	Existing data	13396.4795
109	110	0	peugeot 504 (sw) - 110	gas	std	four	wagon	rwd	front	114.2	198.9	68.4	58.7	3230	l	four	120	mpfi	3.46	3.19	8.4	97	5000	19	24	12440.0	Existing data	12482.3
110	111	0	peugeot 504 - 111	diesel	turbo	four	wagon	rwd	front	114.2	198.9	68.4	58.7	3430	l	four	152	idi	3.7	3.52	21.0	95	4150	25	25	13860.0	Existing data	14014.764
111	112	0	peugeot 504 - 112	gas	std	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3075	l	four	120	mpfi	3.46	2.19	8.4	95	5000	19	24	15580.0	Existing data	15583.06
112	113	0	peugeot 604sl - 113	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3252	l	four	152	idi	3.7	3.52	21.0	95	4150	28	33	16900.0	Existing data	16651.422
113	114	0	peugeot 504 - 114	gas	std	four	wagon	rwd	front	114.2	198.9	68.4	56.7	3285	l	four	120	mpfi	3.46	2.19	8.4	95	5000	19	24	16695.0	Existing data	16674.09
114	115	0	peugeot 505s turbo diesel - 115	diesel	turbo	four	wagon	rwd	front	114.2	198.9	68.4	58.7	3485	l	four	152	idi	3.7	3.52	21.0	95	4150	25	25	17075.0	Existing data	16987.482
115	116	0	peugeot 504 - 116	gas	std	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3075	l	four	120	mpfi	3.46	3.19	8.4	97	5000	19	24	16630.0	Existing data	16447.195
116	117	0	peugeot 504 - 117	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3252	l	four	152	idi	3.7	3.52	21.0	95	4150	28	33	17950.0	New unseen data	16636.016
117	118	0	peugeot 604sl - 118	gas	turbo	four	sedan	rwd	front	108.0	186.7	68.3	56.0	3130	l	four	134	mpfi	3.61	3.21	7.0	142	5600	18	24	18150.0	New unseen data	19491.68
118	119	1	plymouth fury iii - 119	gas	std	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	1918	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	37	41	5572.0	Existing data	5622.174
119	120	1	plymouth cricket - 120	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	102	5500	24	30	7957.0	Existing data	7957.455
120	121	1	plymouth fury iii - 121	gas	std	four	hatchback	fwd	front	93.7	157.3	63.8	50.6	1967	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	6229.0	Existing data	6250.282
121	122	1	plymouth satellite custom (sw) - 122	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	1989	ohc	four	90	2bbl	2.97	3.23	9.4	68	5500	31	38	6692.0	New unseen data	6895.756
122	123	1	plymouth fury gran sedan - 123	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	2191	ohc	four	98	2bbl	2.97	3.23	9.4	68	5500	31	38	7609.0	New unseen data	7296.3906
123	124	-1	plymouth valiant - 124	gas	std	four	wagon	fwd	front	103.3	174.6	64.6	59.8	2535	ohc	four	122	2bbl	3.35	3.46	8.5	88	5000	24	30	8921.0	Existing data	8849.122
124	125	3	plymouth duster - 125	gas	turbo	two	hatchback	rwd	front	95.9	173.2	66.3	50.2	2818	ohc	four	156	spdi	3.59	3.86	7.0	145	5000	19	24	12764.0	Existing data	12950.647
125	126	3	porsche macan - 126	gas	std	two	hatchback	rwd	front	94.5	168.9	68.3	50.2	2778	ohc	four	151	mpfi	3.94	3.11	9.5	143	5500	19	27	22018.0	Existing data	21929.926
126	127	3	porcshce panamera - 127	gas	std	two	hardtop	rwd	rear	89.5	168.9	65.0	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	207	5900	17	25	32528.0	Existing data	32628.264
127	128	3	porsche cayenne - 128	gas	std	two	hardtop	rwd	rear	89.5	168.9	65.0	51.6	2756	ohcf	six	194	mpfi	3.74	2.9	9.5	207	5900	17	25	34028.0	Existing data	33953.85
128	129	3	porsche boxter - 129	gas	std	two	convertible	rwd	rear	89.5	168.9	65.0	51.6	2800	ohcf	six	194	mpfi	3.74	2.9	9.5	207	5900	17	25	37028.0	Existing data	36907.16
129	130	1	porsche cayenne - 130	gas	std	two	hatchback	rwd	front	98.4	175.7	72.3	50.5	3366	dohcv	eight	203	mpfi	3.94	3.11	10.0	288	5750	17	28	31400.5	Existing data	31391.586
130	131	0	renault 12tl - 131	gas	std	four	wagon	fwd	front	96.1	181.5	66.5	55.2	2579	ohc	four	132	mpfi	3.46	3.9	8.7	90	5100	23	31	9295.0	Existing data	9376.719
131	132	2	renault 5 gtl - 132	gas	std	two	hatchback	fwd	front	96.1	176.8	66.6	50.5	2460	ohc	four	132	mpfi	3.46	3.9	8.7	90	5100	23	31	9895.0	New unseen data	9115.814
